Date,Time,Mockes Dam Level,MockesDamLevelpercent,RecommendedMaselspoortSupply,Maselspoort24hSupply,DATETIME,MockesFSC
00:00.0,1899-12-31 16:00:00.000,0.053,0.97,110,35,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.03,0.98,110,38,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.035,0.98,110,41,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.039,0.98,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.039,0.98,110,45,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.039,0.98,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,40,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.118,0.93,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.095,0.94,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.09,0.95,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.122,0.93,110,45,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.118,0.93,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.099,0.94,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.145,0.91,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.113,0.93,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.136,0.92,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.09,0.95,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.113,0.93,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.072,0.96,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.085,0.95,110,45,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.072,0.96,110,46,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.186,0.89,110,1,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.145,0.91,110,11,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.196,0.89,110,41,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.15,0.91,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.173,0.9,110,36,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.145,0.91,110,35,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.159,0.91,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.145,0.91,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.196,0.89,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.173,0.9,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.242,0.86,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.223,0.87,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.242,0.86,110,36,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.223,0.87,110,35,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.265,0.85,110,41,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.265,0.85,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.265,0.85,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.287,0.84,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.265,0.85,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.356,0.8,110,3,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.347,0.8,110,13,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.389,0.78,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.37,0.79,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.356,0.8,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.343,0.81,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.347,0.8,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.352,0.8,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.361,0.8,110,39,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.389,0.78,110,40,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.434,0.76,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.411,0.77,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.425,0.76,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.398,0.78,110,45,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.398,0.78,110,41,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.379,0.79,110,40,00:00.0,100
00:00.0,00:00.0,0.389,0.78,110,41,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.471,0.74,110,35,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.453,0.75,110,35,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.48,0.74,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.439,0.76,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.485,0.73,110,37,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.448,0.75,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.499,0.73,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.485,0.73,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.558,0.7,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.513,0.72,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.563,0.7,110,40,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.563,0.7,110,40,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.65,0.66,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.609,0.67,110,41,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.664,0.65,110,37,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.609,0.67,110,39,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.637,0.66,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.591,0.68,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.637,0.66,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.646,0.66,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.77,0.6,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.793,0.59,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.834,0.57,110,41,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.779,0.6,110,41,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.797,0.59,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.793,0.59,110,39,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.811,0.58,110,39,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.807,0.59,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.875,0.56,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.885,0.55,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.857,0.56,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.802,0.59,110,6,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.802,0.59,110,35,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.77,0.6,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.774,0.6,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.756,0.61,110,42,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.761,0.61,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.761,0.61,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.834,0.57,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.816,0.58,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.825,0.58,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.811,0.58,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.816,0.58,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.811,0.58,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.784,0.6,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.71,0.63,110,39,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.692,0.64,110,31,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.669,0.65,110,35,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.705,0.63,110,45,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.687,0.64,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.664,0.65,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.66,0.65,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.678,0.64,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.696,0.63,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.696,0.63,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.692,0.64,110,30,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.742,0.61,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.692,0.64,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.678,0.64,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.664,0.65,110,2,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.577,0.69,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.531,0.71,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.471,0.74,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.444,0.75,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.499,0.73,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.476,0.74,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.499,0.73,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.499,0.73,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.513,0.72,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.49,0.73,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.499,0.73,110,33,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.485,0.73,110,28,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.508,0.72,110,39,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.476,0.74,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.517,0.72,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.517,0.72,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.531,0.71,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.522,0.72,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,45,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,45,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,,,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,,,110,45,00:00.0,100
