Date,Min,Max,90% percentile,10% percentile,75% percentile,25% percentile,Median,Average,
25-Aug,0,43.284,0.6064,0,0.301,0,0.071,0.916714286,0.361333333
26-Aug,0,18.174,0.5712,0,0.272,0,0.064,0.632984375,0.342
27-Aug,0,11.384,0.5936,0,0.27125,0,0.0825,0.509703125,0.335333333
28-Aug,0,7.204,0.7056,0,0.272,0,0.0685,0.413109375,0.341333333
29-Aug,0,12.741,0.486,0,0.2645,0,0.0735,0.504140625,0.316833333
30-Aug,0,30.144,0.4872,0,0.273,0,0.077,0.955203125,0.304583333
31-Aug,0,18.101,0.7112,0,0.361,0,0.096,0.777492063,0.276916667
1-Sep,0,13.085,0.6951,0,0.33925,0,0.092,0.6466875,0.319
2-Sep,0,13.085,1.0156,0,0.32475,0,0.083,0.63175,0.302333333
3-Sep,0,13.085,1.0511,0,0.34475,0,0.064,0.678390625,0.2615
4-Sep,0,13.085,0.7376,0,0.3395,0,0.0725,0.70965625,0.25675
5-Sep,0,13.085,0.9295,0,0.35075,0,0.0845,0.740015625,0.277333333
6-Sep,0,11.884,1.0105,0,0.3515,0,0.071,0.54515625,0.235806452
7-Sep,0,6.039,0.5438,0,0.3045,0,0.081,0.348046875,NO DATA
8-Sep,0,8.113,0.5016,0,0.32525,0,0.081,0.36840625,NO DATA
9-Sep,0,10.912,0.6907,0,0.36575,0,0.0705,0.663015625,NO DATA
10-Sep,0,10.498,0.6482,0,0.368,0,0.1025,0.642546875,NO DATA
11-Sep,0,10.166,1.0006,0,0.368,0,0.099,0.75984375,NO DATA
12-Sep,0,12.064,0.7697,0,0.368,0,0.087,0.719046875,NO DATA
13-Sep,0,10.59,0.9685,0,0.368,0,0.1135,0.74184375,NO DATA
14-Sep,0,10.622,0.6843,0,0.368,0,0.093,0.432234375,NO DATA
15-Sep,0,10.922,0.7564,0,0.368,0,0.062,0.572936508,NO DATA
16-Sep,0,11.742,0.7096,0,0.368,0,0.046,0.564857143,NO DATA
17-Sep,0,11.73,0.6864,0,0.368,0,0.054,0.856650794,NO DATA
18-Sep,0,10.502,0.7936,0,0.368,0,0.098,0.648603175,NO DATA
19-Sep,0,12.299,0.5616,0,0.368,0,0.062,0.43031746,NO DATA
